fatigue_index,movement_variance,activity_normalized,spo2_variance,hrv_sdnn,desaturation_count,activity_level,hrv_rmssd,movement_entropy,hrv_ratio,hr_activity_ratio
49.8,21.385964576388886,0.3749147920927063,0.06555555555555641,3.77,0,0.275,5.5,3.23,1.1530398322851154,266.7272727272727
50.08,21.337235611111115,0.36861435726210345,0.051666666666667665,3.25,0,0.276,4.8,2.986,1.1294117647058823,271.286231884058
50.196,21.25502100848766,0.3121973195179637,0.06333333333333277,2.91,0,0.231,4.51,2.872,1.1534526854219949,320.3102453102453
50.336,21.259962472222224,0.38634547322753743,0.08687499999999991,3.13,0,0.282,4.16,2.872,1.0072639225181599,258.8356973995272
50.676,21.13382952083333,0.37543292542138085,0.11666666666666763,2.36,0,0.271,3.31,2.928,0.9851190476190477,266.3591635916359
50.536,21.558921209876544,0.37577426015141097,0.09416666666666651,2.63,0,0.273,3.66,3.059,1.0082644628099173,266.11721611721606
51.168,21.41560090432099,0.3810848400556329,0.047430555555555705,1.6,0,0.274,2.08,3.042,0.8,262.40875912408757
50.132,21.562907839506174,0.32770538243626063,0.07638888888888738,3.4,0,0.241,4.67,3.007,1.0613636363636363,305.1521438450899
50.528,21.41261308256173,0.37478391149014645,0.057222222222223146,2.67,0,0.271,3.68,3.07,1.0027247956403271,266.820418204182
50.768,21.368893805555555,0.42412193505632867,0.10166666666666767,2.22,0,0.32,3.08,2.887,0.9565217391304347,235.78125
50.316,21.171340952932102,0.38665759019741314,0.10388888888888957,3.57,0,0.284,4.21,3.07,0.9212253829321663,258.6267605633803
50.644,21.468128508487656,0.3444846292947559,0.05749999999999975,2.97,0,0.254,3.39,3.209,0.853904282115869,290.28871391076115
50.132,21.651988638888888,0.3697813121272366,0.05909722222222247,3.05,0,0.279,4.67,2.772,1.1530864197530863,270.4301075268817
50.492000000000004,21.60174923765432,0.3376738026925623,0.07409722222222227,2.36,0,0.255,3.77,2.755,1.1220238095238095,296.1437908496732
50.508,21.714963722222222,0.38168806088833357,0.08055555555555571,2.38,0,0.28,3.73,2.955,1.1035502958579881,261.9940476190476
50.54,21.264311413580245,0.37775445960125914,0.05687500000000034,2.84,0,0.27,3.65,3.142,0.9505208333333334,264.72222222222223
50.776,21.36243280555555,0.42338146250582204,0.053541666666667154,2.65,0,0.303,3.06,3.007,0.8383561643835616,236.1936193619362
50.604,21.396449098765437,0.39644903921788954,0.06576388888888826,3.09,0,0.294,3.49,2.971,0.8533007334963326,252.23922902494337
